"","Sighted","Reported","Location","Shape","Duration"
"40856",19780313,20070103,"Ozamis (Philippines),","circle","5 minustes"
"45308",20070201,20071114,"Hastings, MI","triangle","5-10 minutes"
"54604",20090616,20090616,"Dublin (Ireland),","sphere","10 sec"
"46375",20071128,20071129,"Williamston, SC","light","15min"
"55603",20090831,20090830,"Scottsbluf, NE","flash","30 seconds"
"2260",19980307,19980315,"Lake Placid, FL","light","3 minutes"
"12524",20010813,20010815,"Euclid, OH","light","2 minutes"
"27080",20040518,20040523,"Lake Powell, UT","oval","4 hours"
"19339",20000915,20030521,"Plant City/Mulberry, FL","oval","3 minutes"
"48751",19870811,20080515,"Neosho, MO","rectangle","15 min"
"33597",20051001,20051001,"Tinley Park, IL","circle","15-20 minutes"
"53053",19951119,20090212,"Virginia Beach, VA","circle","20-30 Seconds"
"1719",19970710,19970713,"Onalaska, WI","sphere","30 secs"
"20929",20030813,20030814,"Delaware, OH","unknown","1 minute"
"50664",19660201,20080811,"Randolph, OH","oval","five to ten seconds"
"60495",20100708,20100708,"Carolina Beach, NC","disk","10 minutes"
"6923",19991205,19991205,"Dallas /Ft. Worth area, South of the, TX","light","5 min"
"17056",19901208,20020807,"Amsterdam (Netherlands),","sphere","5 minutes"
"54076",20090509,20090509,"Newport News, VA","triangle","3 Minutes"
"42304",19820615,20070528,"Haughton, LA","disk","10 seconds"
"33278",20050726,20050726,"Jefforsonville, IN","triangle","10 Min."
"49062",20080731,20080730,"Jensen Beach, FL","changing","over 40 mins"
"7079",20000109,20000109,"Los Angeles, CA","sphere","2 minutes"
"26994",20040629,20040630,"Walpole (Australia),","fireball","15sec"
"24482",20031020,20040108,"Prophetstown, IL","other","15 min."
"18851",19760614,20030208,"Wurtland, KY","cigar","1 hour"
"50965",20081024,20081029,"Tazewell, VA","fireball","2 minutes"
"51668",20081002,20081002,"Hockessin, DE","cylinder","2 Min"
"16102",19930613,20020528,"Lafayette, LA","teardrop","22:20"
"40889",20050615,20070118,"Paincines (Pinnacle Rocks in Pinnacles National Monument), CA","changing","at least 15 minutes"
"22656",19630801,20031021,"Wenatchee, WA","formation","5 Seconds"
"10957",19750710,20010131,"Marlborough, CT","disk","30 Minutes"
"49061",20080725,20080725,"York, PA","changing","over 1 hour"
"36615",20050715,20060313,"Port Dover (Canada), ON","cylinder","1 minute approx."
"11689",20001101,20010511,"Mitchell, SD","other","1 minute +/-"
"50229",20080831,20080831,"Philadelphia, PA","disk","20-30secs"
"14579",20020125,20020129,"Williamsport, PA","triangle","10 minutes"
"42737",20070408,20070408,"Baltimore, MD","light","8 seconds"
"55555",20090802,20090803,"Middlesbrough (UK/England),","oval","2/8/09"
"7134",19980824,20000202,"Albuquerque (Outside of), NM","triangle","10 Seconds"
"57064",20090919,20090921,"North Huntingdon, PA","light","20 seconds"
"21093",20030818,20030825,"Rockerville, SD","triangle","5 min."
"24023",20000509,20040210,"Lawton, OK","sphere","5 to 10 seconds"
"25766",20040305,20040512,"Mexico City (Mexico),","light","2-5 minutes"
"28159",20040819,20041012,"Chaska, MN","rectangle","4.5 hours"
"26401",20040624,20040625,"India,","cigar","15 seconds"
"60588",20100728,20100729,"Dayville, CT","other","15 seconds"
"10864",20010201,20010201,"Salem, NH","disk","ten min."
"38114",20060724,20060725,"Searcy, AR","oval","30 seconds"
"23238",20031119,20031120,"Abbeville, LA","formation","10 minutes"
"8721",20000605,20000609,"Conway, SC","triangle","15MINUTES APPOX"
"2542",19980316,19980330,"Albany, OR","cigar","8-10 minutes"
"2432",19980925,19980925,"Memphis, TN","flash","3 min"
"46263",20071223,20071226,"Chicago, IL","disk","3 minutes"
"58108",20091122,20091122,"San Bernardino, CA","fireball","2 minutes"
"47018",20080219,20080220,"Cheney, WA","flash","3 SECONDS"
"35194",20051215,20051215,"Bolton, MA","light","15 seconds"
"35582",20051227,20051228,"Sacramento, CA","teardrop","15 seconds"
"20790",20020925,20030819,"Clinton, SC","other","2-3 sec. (approx.)"
"26937",20040614,20040616,"Glendale, AZ","formation","5 minutes"
"21285",20030817,20030817,"Federal Way, WA","egg","3 Minutes"
"58880",20100206,20100207,"Monterey, CA","light","10 min"
"24659",20010214,20040310,"Calgary (Canada), AB","cylinder","approx: two hours"
"57516",20091218,20091219,"Denver, CO","disk","4 minutes"
"40229",20061109,20061110,"Brookline, MA","triangle","5 minutes"
"33099",20050710,20050804,"Tinton Falls, NJ","circle","15 Sec."
"11535",19860601,20010528,"South Windsor, CT","circle","25 seconds"
"38943",20060927,20060927,"Wilton, NH","other","4min."
"55259",20090404,20090603,"Oceanside, CA","light","1 min. 10 secs."
"10316",20010111,20010112,"Nederland, CO","cylinder","3 to 4 seconds"
"59860",20100417,20100416,"Ocean Springs, MS","fireball","5 sec"
"14193",20011118,20011118,"Seattle, WA","circle","90 seconds"
"39345",20060813,20060814,"Killeen, TX","unknown","30 sec."
"15878",20020627,20020627,"Selden, NY","formation","4 min"
"33368",19791101,20050816,"Meriden, CT","light","2mins"
"40584",19730601,20070106,"Oshawa (Canada), ON","fireball","5 min"
"43729",20070707,20070708,"Gwinn, MI","unknown","aprox 2-3 hours per night"
"25909",20040410,20040414,"Williams Lake (Canada), BC","light","1 minutes"
"21118",20030726,20030728,"Westminster (near), MD","formation","30 sec"
"58978",20090408,20100302,"Holden Beach, NC","light","40 minutes"
"6034",19991105,19991110,"Carbondale, KS","disk","5 min"
"57681",20080718,20091111,"Salem/Rolla (between), MO","disk","5 to 10 seconds"
"13568",20010927,20010928,"Denver, CO","light","1 hour"
"41414",19780801,20070323,"Clifton Park, NY","oval","1 minute"
"46811",19661111,20080122,"Hempstead, NY","unknown","one  minute +/-"
"25793",20040430,20040501,"Stellarton (Canada), NS","other","approx: 7 minutes"
"32477",19660812,20050609,"Caseyville, IL","light","10 minutes"
"12996",20010828,20010828,"Chester, VA","rectangle","1 Minute"
"39949",20061013,20061125,"La Mesa, CA","light","5-10 min"
"6731",19991114,19991118,"Geneva, IL","unknown","1-1 minute"
"52199",20080619,20081206,"Los Angeles, CA","cigar","Griffith Park"
"15694",20020609,20020610,"Nashville, TN","unknown","1-10 minutes"
"32401",20040501,20050709,"Orlando, FL","sphere","5 min"
"30587",19830601,20050225,"Phoenix, AZ","circle","10 minutes+"
"46645",20070822,20080222,"Lebanon, TN","teardrop","10 secs"
"3814",19990123,19990124,"Chicago (1 hours south ofoff I 57), IL","disk","approx 15 min"
"15906",20020704,20020704,"Murrieta, CA","light","3 minutes"
"34506",20051026,20051026,"Chesterfield, MO","light","10 sec"
"47487",20080430,20080501,"Trumbull, CT","disk","20 minutes"
"19231",20030207,20030207,"Garrett, IN","light","6 Seconds"
"30284",19690801,20050224,"Berlin (Germany),","unknown","5 min"
"57103",20090920,20090920,"Valrico, FL","flash","5 seconds"
"49035",20010501,20080515,"Henderson, NV","unknown","3 minutes"
"5463",19830815,19990726,"Katonah, NY","triangle","10 minutes"
"9932",20000723,20001218,"Toronto (Canada), ON","oval","10 min"
"36271",20060215,20060216,"Pismo Beach, CA","fireball","10 minutes"
"20611",20021215,20030706,"Newport Beach, CA","light","1.5 minutes"
"5563",19990911,19990912,"Paramus/Teaneck, NJ","circle","20-25minutes"
"29727",19931010,20041212,"Zlatoust (Russia),","sphere","20 minutes"
"18023",20010101,20021224,"Progresso (Mexico),","fireball","15 min"
"10003",20001105,20010112,"Plantation, FL","teardrop","5 sec tops"
"53199",20060910,20090114,"Cherry Grove (Canada), AB","triangle","30-60mins+"
"30680",20041010,20050224,"Berkeley, CA","unknown","3 minutes"
"22068",19940114,20030918,"Moorpark, CA","sphere","appx 5 min"
"34238",19950822,20051002,"Greensburg, KY","rectangle","5 min."
"56507",20091009,20091021,"Kearny, NJ","cylinder","15 minutes"
"28995",20041108,20041110,"College Station, TX","changing","ongoing"
"28499",20040715,20040912,"Glasgow (UK/Scotland),","unknown","till day break"
"17209",19961220,20021012,"La Union (Philippines),","other","less than a minute"
"22006",20030903,20030904,"Campo, CA","light","10 seconds"
"43974",20070911,20070915,"Moberly Lake (Canada), BC","light","3sec"
"35103",20051105,20051105,"Oxnard, CA","other","15 minutes"
"38193",19840330,20060728,"Griffin, GA","circle","15-20 seconds"
"14496",20020103,20020105,"Dubuque, IA","disk","Thursday"
"24675",20040203,20040311,"Houston (Canada), BC","other","3 to 4 minutes"
"49213",20080802,20080804,"Wapakoneta, OH","sphere","1.5 minutes"
"36189",20060219,20060219,"Merced, CA","light","15 minutes"
"51470",20081002,20081102,"Arlington, TX","light","5 min"
"53106",20070630,20090217,"Burns/Chicamoniny Lake, OR","flash","instant"
"19501",19790415,20030424,"Lexington, NC","triangle","5 t0 8 minutes"
"51641",19940214,20081105,"Salyersville, KY","triangle","1:00 min"
"13849",20011118,20011213,"Windsor, CO","triangle","5 seconds"
"47497",20080305,20080306,"Woodbridge, VA","light","45 minutes"
"41624",20070225,20070301,"Briarwood, NY","flash","5 minutes"
"3468",19981115,19981227,"Wheat Ridge, CO","diamond","8 SEC"
"23711",20000818,20031202,"Dupo, IL","diamond","approx. 20 mins"
"6857",19991112,19991122,"Jackson, MS","sphere","5-10 seconds"
"14681",20020208,20020209,"Renton, WA","fireball","3-5 secs"
"41643",20070220,20070220,"Mequon, WI","triangle","1 minute"
"57624",20091231,20091231,"Preston (UK/England),","light","60 seconds"
"57296",20100103,20100103,"Trinity and Riverside (between), TX","disk","60 seconds"
"48165",20080118,20080401,"Springtown, TX","circle","30 minutes"
"38544",20060716,20060717,"La Jolla, CA","formation","3 seconds"
"10158",20001231,20010114,"Anchorage, AK","changing","4-6 hours"
"32844",20050822,20050822,"Corona, CA","unknown","15 mins"
"49257",20080714,20080714,"Prescott, AZ","oval","1 min"
"14750",20020329,20020329,"Farmersville, CA","light","10-15 seconds"
"10467",20001022,20001210,"Puyallup, WA","diamond","2  minutes"
"31809",20040519,20050321,"Hastings, MI","triangle","about 20 sec."
"8622",20000627,20000627,"Boston, MA","light","10 seconds"
"15381",19751220,20020507,"Sunnyvale, CA","light","&lt;15 minutes"
"25337",20040224,20040224,"North Bay (Canada), ON","fireball","2-3 minutes"
"60994",20100812,20100817,"Secaucus, NJ","sphere","possibly 30 seconds"
"55864",20090803,20090803,"Haltom City, TX","light","45 minutes"
"33218",20050718,20050718,"Seattle, WA","flash","5 seconds"
"12056",20010405,20010411,"Zahle,","formation","about 40 seconds"
"5628",19990928,19990929,"Seaview (Port Elizabeth,  Eastern Cape) (South Africa),","other","10 min"
"31467",20050502,20050515,"Angels Camp, CA","circle","2 minutes"
"54127",20090226,20090421,"Shirley, NY","circle","two minutes"
"3596",19981213,19981213,"Sikeston/Morley (between), MO","sphere","5 sec."
"44994",20071014,20071018,"Birch Bay, WA","cigar","am"
"16910",19960819,20020731,"Spencer, SD","unknown","22 minutes"
"11335",20010609,20010609,"Apache Junction, AZ","light","3 min."
"29535",20040901,20050112,"Monticello, IN","unknown","1 min"
"41033",20061227,20061227,"Perry, GA","egg","15 minutes"
"46892",20070922,20080218,"Wildwood Crest, NJ","light","45seconds"
"27097",20040811,20040813,"Sterling, OK","unknown","15-20 minutes"
"17044",19900115,20020818,"Sydney (Canada), NS","light","Maby 1 minute?"
"52452",19740915,20081217,"Westerlo, NY","light","5 minuts"
"41561",20070326,20070326,"Orlando, FL","light","30-40 seconds"
"46690",20080125,20080129,"Acworth, GA","fireball","3-4 seconds"
"45380",20071021,20071021,"Kingsport, TN","circle","4 minutes"
"60658",20100628,20100701,"Lake Havasu City, AZ","light","60 seconds"
"35594",20051220,20051226,"Lawrence, MA","oval","2 minutes"
"56134",20090812,20090812,"Houston, TX","diamond","45 seconds"
"33988",20050926,20050925,"Indian Harbour Beach, FL","fireball","one minute"
"31886",20050525,20050525,"Montgomery, AL","triangle","30 seconds"
"52183",20090101,20090105,"Thunder Bay (Canada), ON","light","50 seconds"
"5448",19990809,19990828,"Yosemite National Park (above Half Dome), CA","other","20 seconds"
"50628",20080918,20080918,"Warren, NJ","oval","30 secs."
"16329",20020803,20020805,"Aurora, CO","triangle","1-3 minutes"
"25467",20040416,20040418,"Lititz, PA","disk","15-20 Sec"
"55919",20030515,20090711,"Stanwood, WA","circle","1 minute"
"20877",19980225,20030810,"Harrisburg, PA","cigar","23 minutes"
"4101",19990317,19990318,"Salt Lake City (west of), UT","circle","15 seconds"
"49788",20080801,20080802,"La Puente, CA","oval","3-4 SECONDS"
"31729",19980812,20050331,"Coimbra (Portugal),","disk","3 minutes"
"60320",20100626,20100628,"Blueridge, GA","circle","every night"
"34154",20050922,20050922,"Surprise, AZ","fireball","3 minutes"
"11775",20010325,20010325,"Jefferson City, MO","cross","about 2-3 minutes"
"19318",20030404,20030414,"White Bear Lake, MN","disk","10min"
"42019",20070327,20070327,"Livingston, NJ","cigar","few secounds"
"1907",19760815,19970623,"McDermitt (NE of;  Lat 42 05&apos;N  Lon 117 00&apos;W, NV","cylinder","3-5 min"
"41218",20070318,20070318,"Murphysboro, IL","rectangle","5 Seconds"
"50766",20080821,20080821,"Fenton, MI","changing","Sky"
"14376",20020209,20020218,"San Diego, CA","circle","10 minutes"
"2055",19980206,19980210,"Worcester, MA","fireball","2-3 seconds"
"34248",19990525,20051003,"Lorian, OH","fireball","00.20"
"38217",20060430,20060619,"Portland, OR","diamond","3 seconds"
"50566",20080816,20080817,"Grand Island, NE","oval","5 minutes max"
"18882",19850601,20030214,"Sydney (NSW, Australia),","circle","24;00"
"16864",19970915,20020731,"Foley, MN","unknown","5 min"
"26720",20040626,20040626,"Tionesta, PA","light","1 minute"
"37289",20021115,20060514,"Augusta, ME","light","5 mins"
"12373",20010725,20010727,"San Jose, CA","changing","3 min"
"26004",20040419,20040426,"Grand Canyon, AZ","light","1 min. plus"
"25293",19960328,20040226,"Greendale, KY","rectangle","10 seconds"
"43730",20070621,20070623,"Clarklake, MI","cigar","40 minutes"
"33074",20050812,20050812,"Mesa, AZ","light","60 sec"
"26214",20040427,20040429,"Oakley, UT","disk","seconds"
"15716",19960910,20020702,"Siloam Springs, AR","triangle","5 minutes"
"40387",20060825,20061231,"Maui, HI","disk","moments"
"38607",20060831,20060901,"Onion Creek, WA","light","30 sec."
"8068",19730701,20000315,"Dobson, MT","disk","90 sec"
"57299",20091216,20091216,"Beirut (Lebanon),","oval","10 minutes"
"19706",20030313,20030314,"The Plains, VA","triangle","1 min"
"16605",19760615,20020820,"Port Noarlunga (Australia),","circle","2minutes"
"56638",20090911,20090911,"Escanaba, MI","light","60 sec."
"28284",20041027,20041027,"Ithaca, NY","chevron","5-10 seconds"
"25577",19640515,20040428,"Covina, CA","cigar","5 MIN."
"16856",19950825,20020903,"Oxford, MA","light","10 Minutes"
"15493",20020427,20020429,"Wilmington, NC","light","10 seconds"
"26494",20040516,20040518,"Tucson, AZ","sphere","5 seconds"
"24290",20031226,20031226,"Cape Coral, FL","circle","2 seconds"
"11250",20010321,20010321,"Moretown, VT","formation","15 sec"
"18679",20020822,20030130,"Southport (not sure), CT","light","4 seconds"
"2482",19980109,19980116,"Pottstown, PA","triangle","90+ minutes"
"16210",20020604,20020607,"Moapa, NV","flash","00.50 sec."
"53522",20081011,20090131,"Villa Park/Lombard, IL","changing","5 minutes"
"28494",20040904,20040906,"Glendale, AZ","teardrop","10-12 seconds"
"5976",19991112,19991115,"Denver, CO","rectangle","1-2 mins."
"18967",20030212,20030213,"Vancouver (Canada), BC","triangle","3 minutes"
"51360",20081112,20081113,"Long Beach, CA","sphere","2seconds"
"43901",20070927,20070927,"Conway, AR","light","5 min"
"12185",20010801,20010803,"Canton, CT","formation","30 seconds"
"33889",20051011,20051012,"Holiday, FL","light","ohrs"
"37793",20060715,20060804,"Yosemite National Park, CA","light","3 seconds"
"31417",20050321,20050321,"Felsted, Gt Dunmow (Essex) (UK/England),","light","10 min"
"53838",20090416,20090416,"Oak Hill, OH","unknown","25 seconds"
"51218",20080704,20081025,"Novi, MI","fireball","10 min"
"5750",19990918,19990920,"London (Croydon) (UK/England),","unknown","10 secs"
"19259",20030128,20030128,"Jacksonville, FL","circle","15 minutes"
"37536",20060521,20060521,"Murrieta, CA","unknown","3 hours"
"17944",20021108,20021109,"Wyandotte, MI","triangle","about 20 minute"
"28534",19650715,20040908,"San Gabriel, TX","oval","30 minutes"
"21085",19990815,20030809,"Parkersburg, WV","cylinder","2 minutes"
"38104",20060724,20060725,"Pulborough (UK/England),","light","40 secs"
"9794",20001112,20001113,"Los Angeles, CA","changing","30 minutes"
"19930",20030422,20030422,"Gainesville, FL","cigar","6 minutes"
"10488",20001222,20001222,"London (Canada), ON","sphere","10seconds"
"44266",20070825,20070825,"Halifax (Canada), NS","light","for at least 5 hours"
"7117",19770901,20000113,"Everett, WA","triangle","10 minutes"
"35728",20051218,20051218,"Van Nuys, CA","flash","10 minutes"
"26504",20040629,20040701,"Lafayette, CA","other","dream"
"16400",20020828,20020828,"Mattawa, WA","fireball","6 or 7 seconds"
"52438",20081225,20081225,"Austin, TX","disk","1 minute"
"50191",20071001,20080929,"Beulaville, NC","triangle","5 sec"
"53542",20090113,20090116,"Plano, IL","changing","20-30 seconds"
"15261",20020227,20020227,"Los Angeles, CA","sphere","5 hrs"
"39694",20061108,20061109,"Tucson, AZ","triangle","5-10 minutes"
"34454",20051026,20051026,"Eloy, AZ","formation","1-2 mins"
"10658",20010314,20010315,"Lawrenceville, NJ","egg","5 seconds"
"47951",20080331,20080401,"Fort Lauderdale, FL","unknown","3-5 minutes"
"18748",20030213,20030212,"Smithtown, NY","light","13 mins"
"12087",20010713,20010725,"Orlando (State Rt. 474, W. of), FL","sphere","10 mins"
"29008",20041025,20041028,"Fountain Hills, AZ","triangle","20 minutes"
"42562",20070421,20070422,"Blackpool (UK/England),","egg","5 mins"
"7356",19960228,20000126,"La Crosse, WI","light","2 minutes"
"5878",19990913,19990913,"St. Joseph, MI","light","30 sec"
"35091",20051103,20051103,"Kingsville, TX","oval","15seconds"
"40963",19840601,20061219,"Bowling Green, KY","unknown","20 - Minutes"
"52272",20051111,20090105,"Fremont, CA","light","30 seconds"
"57366",20091226,20091226,"Dundee (UK/Scotland),","fireball","15 mins"
"55735",20090727,20090727,"Greeneville, TN","light","15 seconds"
"7514",20000219,20000219,"Miami, FL","light","5 seconds"
"44500",20070829,20070829,"Toms River, NJ","sphere","2 minutes"
"16441",20000829,20020906,"Shropham Norfolk (UK/England),","fireball","15 Minutes"
"22717",20031007,20031009,"Carbondale, IL","triangle","45 sec"
"17872",20021119,20021119,"Wall, NJ","chevron","7 seconds."
"14463",20020109,20020116,"Cherry Valley, IL","oval","2 -3 minutes"
"33316",20050601,20050821,"Hopkinsville, KY","light","20mins"
"24676",20040310,20040310,"New Bern, NC","light","2-3 minutes"
"54144",20090509,20090509,"Bideford (UK/England),","other","5 seconds"
"40827",19940601,20070127,"Wilson, WI","light","15 minutes"
"7563",19981030,20000427,"Spansh Cay/Abcos Inlands (Bahamas) (Near Coopers town),","sphere","1-2hrs"
"21386",20030929,20030929,"Tres Pinos, CA","flash","5-7 seconds"
"22094",20020501,20030919,"Chicago, IL","oval","3 Minutes"
"12064",19990519,20010424,"Deerfield, IN","unknown","half hour"
"33751",20050930,20050930,"Bellefonte, PA","cigar","2 hours"
"41014",19761225,20070116,"Winslow, ME","disk","3 minutes"
"33297",20050822,20050825,"Scottsdale, AZ","circle","unknown"
"59915",20100430,20100514,"Pacific Ocean (no state),","oval","1 min"
"47625",20080424,20080427,"Coalinga, CA","triangle","5 minutes"
"48059",20080215,20080401,"Worley, ID","unknown","3min"
"14881",20020516,20020517,"Sterling, VA","light","10minutes+"
"42881",20070510,20070601,"Greenfield, IL","triangle","15 minutes"
"11140",19361015,20010205,"Eklutna, AK","cigar","3 minutes."
"49466",20080721,20080721,"Butler, MO","rectangle","3-5"
"10428",20001121,20001122,"Toronto (Canada), ON","triangle","1 minute"
"33992",20050210,20051002,"Arbroath (UK/Scotland),","circle","10 minutes"
"12267",20010511,20010623,"Newbury Park, CA","changing","25 min"
"55721",20071015,20090827,"Wichita, KS","formation","10 min"
"42267",20070515,20070516,"Cerritos, CA","unknown","5-6 min."
"25360",20040317,20040318,"Coventry (UK/England),","light","20 minutes"
"44065",20070901,20070908,"Beech (at King&apos;s Hill) (UK/England),","other","1 minute or so"
"5066",19990610,19990711,"Sleepy Hollow, NY","circle","2 minutes"
"19996",20030408,20030408,"Tempe, AZ","cylinder","1 minute or so"
"24493",20040120,20040209,"Boyce-Sharp, LA","other","over an hour"
"46804",20080211,20080213,"Nebraska City, NE","circle","10 Minutes"
"26524",19871026,20040708,"Fort Wayne, IN","unknown","8 minutes"
"7721",19970316,20000301,"Osterville, MA","sphere","5 seconds"
"23366",20031123,20031124,"Berkeley, CA","oval","~8 mins"
"53285",20081202,20090222,"Schererville, IN","triangle","3 minutes"
"15018",20020513,20020513,"Los Angeles, CA","oval","2hrs"
"3386",19980726,19980907,"Erie, PA","light","15 seconds"
"24523",19921015,20031220,"Nhlangano (Swaziland),","sphere","10 minutes"
"55671",20090721,20090721,"Fayetteville, AR","light","5 Mins"
"32466",20050624,20050624,"Girard, OH","triangle","11/2 hrs"
"45708",20071204,20080118,"Jacksonville, FL","fireball","10  - 15 seconds"
"17897",19980501,20021109,"Lufkin, TX","light","3 to 5 minutes"
"43804",20070622,20070704,"Fresno (20 min. N of), CA","egg","approx 3 minutes"
"43568",20070729,20070804,"Orillia (Canada), ON","rectangle","15 min"
"42804",20060423,20070518,"Tulum (near Cancun) (Mexico),","rectangle","10 seconds"
"27293",20040829,20040831,"New York City (Brooklyn), NY","circle","about 3 mins"
"43561",20070624,20070624,"Irvine, CA","circle","5 mins"
"40701",20061208,20061218,"Columbia, MO","fireball","2 seconds"
"42836",20070512,20070512,"Reno, NV","oval","3 min"
"43583",20070802,20070802,"Fairfax County, VA","circle","30 seconds"
"25432",19900225,20040408,"Wimberley, TX","triangle","5 minutes"
"35576",20051212,20051212,"Livonia, MI","sphere","1 minute"
"36120",20060220,20060227,"Brownstown, MI","other","1 hour"
"25421",20040321,20040321,"Wapato, WA","fireball","20sec"
"43972",19970701,20070828,"Kingston, NY","disk","3 mins."
"27857",20010720,20040801,"Cairns (QLD, Australia),","cylinder","8 mins"
"35471",20051122,20051201,"Overland Park, KS","unknown","55 MINUTES"
"55585",20090728,20090814,"Summerland (Canada), BC","oval","45 min"
"21082",20030412,20030722,"Port St. Lucie, FL","sphere","2min. 15sec."
"25784",19760203,20040430,"Ft. Yukon, AK","oval","2  MINUTES"
"13662",20011028,20011116,"Montello, NV","unknown","one minute"
"12175",20010627,20010701,"Irvine, CA","other","2 minutes"
"55056",20090514,20090515,"Rocha (Uruguay),","fireball","30 seconds"
"4219",19820615,19990422,"Sarona, WI","circle","Approx. 10 min."
"59721",20100601,20100601,"New York City (Manhattan), NY","other","5 minutes"
"2809",19981029,19981117,"Dublin (on U.S. Interstate 680 North), CA","circle","5 seconds"
"16527",20020729,20020811,"Sayward (Canada), BC","other","3-4 seconds"
"23334",20031115,20031121,"Sky CIty, NM","other","5 min."
"32602",20050714,20050715,"Goleta, CA","sphere","5 minutes"
"9351",20000515,20000930,"Cleveland (approaching), OH","teardrop","3-4 seconds"
"60219",20100714,20100715,"High Point, NC","other","unknown"
"27266",20040725,20040727,"Casa Grande/Phoenix (between), AZ","unknown","Approx 3 Minutes"
"2262",19980422,19980422,"Melbourne (looking in the SE sky, perhaps over Bahama), FL","light","10 seconds"
"11286",19660927,20010206,"Red Oak, IA","oval","2-3 minutes"
"26334",19720701,20040611,"Stone Mountain, GA","circle","10 minutes"
"24557",20020710,20031226,"Cape Coral, FL","circle","10 seconds"
"51804",20081115,20081120,"San Juan Capistrano, CA","chevron","15 seconds"
"3871",19990317,19990317,"Vernon, NJ","cylinder","10 to 15 minutes"
"4811",19940601,19990622,"Montgomery, AL","triangle","2 minutes"
"43180",20070707,20070702,"Seymour, CT","light","20 min"
"18316",19730606,20030109,"North Bay (Canada), ON","cylinder","2-3 minutes"
"56574",20090902,20090902,"Keokuk, IA","light","3-4 seconds"
"29863",20050115,20050202,"Las Vegas, NV","other","party"
"11608",20010211,20010529,"Cold Lake/Sherridon (Canada), MB","oval","1.min"
"44688",20070830,20070830,"Melrose Park, IL","unknown","1 hour"
"38165",20060623,20060623,"Neptune Beach, FL","circle","continously"
"20543",20030614,20030615,"Brisbane (QLD, Australia),","fireball","5min"
"51968",20070724,20081218,"Escalante, UT","unknown","5 minutes"
"19253",19990615,20030205,"Silverton, TX","cigar","20minutes"
"37109",20060407,20060407,"El Dorado Hills (Sacramento), CA","unknown","1 minute"
"45440",20071024,20071024,"Eagle Pass, TX","oval","15-20 Sec."
"13298",20010922,20010922,"Murfreesboro, TN","circle","14 Minutes"
"31516",20050503,20050504,"Solon, OH","unknown","2 Minutes"
"43777",20070704,20070704,"Prue, OK","circle","5 seconds"
"3837",19981208,19981220,"Vilonia (Just south of), AR","circle","5 min.  aprox."
"51251",20081023,20081023,"Cisco, TX","formation","1 minute"
"3754",19760810,19990118,"Sebago, ME","light","6 seconds"
"58521",19900715,20100407,"Chico, CA","disk","1-2 minutes"
"19900",20030512,20030514,"Panorama City, CA","cylinder","12minutes"
"26417",20040624,20040628,"East Wenatchee, WA","sphere","20 Minutes"
"39306",20060725,20060825,"Urbandale, IA","light","6 seconds"
"50461",20080821,20080822,"San Francisco, CA","disk","1/2 hour"
"13852",20011121,20011122,"Johannesburg (South Africa),","other","3,5 seconds"
"54738",20090525,20090601,"Rapid City, SD","triangle","30 seconds"
"40634",20061220,20061220,"Elmwood Park, IL","light","5 -10 minutes"
"28068",20040929,20040929,"Plover, WI","light","30 min"
"59989",20100704,20100721,"Shelby Twp, MI","disk","20 min"
"17036",20020822,20020824,"Williamstown/Hammonton, NJ","triangle","10 minutes"
"26579",20040530,20040530,"Claremont, CA","flash","Over an hour."
"42972",20070722,20070723,"Crystal Beach, FL","disk","20-30 minutes"
"15799",20020708,20020709,"Chilliwack (Canada), BC","triangle","approx 1 hour"
"11542",20010421,20010421,"Arlington, TX","triangle","1 MIN"
"25117",20040329,20040330,"Ottawa (Canada), ON","light","2-3 minutes"
"31855",20050709,20050709,"Bristol (UK/England),","cylinder","3 mins"
"57560",20091026,20091030,"Chester, CA","light","lees than 2 minutes"
"12973",20010819,20010820,"Orion, MI","light","15 sec"
"52608",20081228,20081229,"russlville, AR","unknown","5 min"
"21184",20030803,20030803,"London (UK/England),","sphere","15 mins"
"28502",20041010,20041010,"Portage la Prairie (Canada), MB","changing","20minutes"
"3361",19981004,19981024,"Savannah (central), GA","fireball","5 seconds"
"17106",20010910,20020926,"Salt Lake City, UT","triangle","4-5 minutes"
"22557",20031025,20031027,"San Diego, CA","triangle","5 minutes"
"47336",20080225,20080225,"Brownsville, TX","cylinder","3 minute"
"12917",20010820,20010821,"Bremerton, WA","circle","10-15 min"
"23995",20040201,20040201,"Los Angeles, CA","triangle","2 min"
"42235",20070508,20070508,"North Lima, OH","formation","20 seconds"
"9236",20000908,20000909,"Fall River, MA","sphere","An hour"
"29553",19820606,20050122,"Newark, NJ","fireball","10 minutes"
"8175",20000430,20000501,"Layton, UT","triangle","60 seconds"
"32941",20050817,20050822,"Berwyn, IL","sphere","30seconds"
"43795",20070615,20070616,"Felton, CA","teardrop","30 MIN"
"31285",20050414,20050419,"Guelph (Canada), ON","triangle","10 seconds"
"10991",19960618,20010208,"Victoria (Canada), BC","other","5 miutes"
"17945",19950517,20021122,"Rochester, NY","flash","10 minutes"
"30306",19981210,20050224,"Camp Pendelton, CA","sphere","3 1/2 HRS"
"32872",20050725,20050725,"Woodland, CA","disk","1-2 seconds"
"41160",20070106,20070106,"Forest Grove, OR","sphere","4 seconds"
"29325",20041109,20041110,"Tracy City, TN","fireball","3 seconds"
