"","Sighted","Reported","Location","Shape","Duration"
"24956",19921020,20040314,"Kaunas (Lithuania),","unknown","1 hour"
"8275",20000811,20000811,"Flippin, AR","circle","5- 7 seconds"
"33865",20051001,20051001,"Homestead, FL","light","5mins"
"34782",20050725,20051019,"Salem/Shawsville(between; driving on I-81 S), VA","cylinder","5-10"
"49566",20080729,20080729,"Kent, WA","triangle","1HR"
"4739",19980820,19990106,"Centreville, VA","sphere","night"
"56445",20090907,20090907,"Wells, ME","sphere","3 minutes"
"52411",20090103,20090103,"St. Petersburg, FL","oval","5 minutes"
"50604",20080815,20080828,"Lake Charles, LA","circle","10 seconds"
"52133",19470415,20081219,"Miami (north of), FL","other","5-7 MIN"
"51966",20081227,20081227,"Wurtand, KY","other","4 days"
"5858",19981010,19990925,"St. John&apos;s (Canada), NF","egg","2 hours"
"39299",20060819,20060828,"Yakima, WA","triangle","15 sec"
"20052",20030703,20030703,"Tottenham (Canada), ON","circle","30 Sceonds"
"41701",20060520,20070226,"Torrance, CA","other","30 seconds"
"2352",19960415,19980208,"Long Beach, CA","fireball","1.5 seconds"
"44366",19710303,20070830,"Los Angeles, CA","other","2 minutes"
"18951",20020115,20030127,"Philadelphia, PA","disk","2 minutes"
"44255",20070914,20070921,"North Bristol (UK/England),","circle","two hours"
"22765",20031103,20031104,"Rockledge, FL","unknown","5-10 minutes"
"57390",19860601,20091213,"Tawas City, MI","triangle","1 hour plus"
"35854",20051022,20051224,"Hinkley, CA","other","1-2 minutes"
"35181",20060114,20060116,"Mendenhall, MS","diamond","3 minutes"
"19723",20030525,20030525,"Payson, AZ","sphere","over 1 hr."
"40434",20070106,20070108,"Cameron, MO","cone","2 hrs"
"25065",19970701,20040316,"Freehold, NJ","light","5 seconds"
"19125",20030209,20030211,"Indian Mountain (Canada), NB","circle","approx. 7 minutes"
"31134",20050403,20050408,"Minneapolis, MN","triangle","1 minute"
"14191",20011128,20011130,"Milwaukie, OR","fireball","0.02 sec"
"40971",20061106,20070103,"Naperville, IL","sphere","3 minutes"
"42549",20070514,20070515,"Muskegon, MI","other","less than a minute"
"27489",20040727,20040727,"Ashland, MA","oval","20 min"
"56983",20091003,20091004,"Trenton, NC","formation","18 seconds"
"23517",20031126,20031127,"Milton, VT","light","3-5 minutes"
"20502",19850920,20030612,"Coconut Creek, FL","disk","4 minutes"
"16448",20020904,20020904,"Lynnwood, WA","light","2 minutes"
"47152",20080124,20080124,"Waddington, NY","light","3 min."
"23562",20030512,20031204,"Yazd (Iran),","triangle","1houre"
"2032",19980608,19980608,"Chesterfield, MO","unknown","7 min."
"27467",20000227,20040713,"Portland, OR","unknown","3 minutes"
"32155",20050703,20050713,"Tacoma, WA","egg","1 second?"
"15411",19540715,20020522,"New Toronto (Canada), ON","circle","10 minutes"
"47759",20080410,20080411,"Florissant, MO","circle","2min"
"56094",20090725,20090726,"Muskogee, OK","sphere","2:00 min"
"13212",20010624,20010909,"East Haddam, CT","egg","30 seconds"
"45519",20071005,20071005,"Rolla, MO","unknown","6 min"
"25715",20040508,20040508,"Warren, OH","light","Five Minutes"
"32852",20050823,20050823,"Washington, IN","light","45 seconds"
"26849",19540615,20040523,"Palm Beach, CA","light","Short"
"50538",20080906,20080909,"Pomona, NY","light","60 Seconds"
"38026",20060805,20060806,"Delray Beach, FL","disk","2 mins"
"44691",20070807,20070807,"Arivaca, AZ","light","5 hours"
"22708",19790615,20031015,"Huntsville, TN","oval","20 seconds"
"25206",20040213,20040217,"Flora, IN","circle","45 seconds"
"2123",19950605,19980208,"Aurora (outside), IL","triangle","5 MIN"
"33144",20050812,20050812,"Reno, NV","light","at least 20 minutes"
"35085",20051101,20051101,"Powers, MI","fireball","10 seconds"
"17848",20030101,20030101,"Payton, CO","teardrop","25min"
"51354",20081006,20081006,"Albuquerque, NM","light","5min"
"41036",20070111,20070111,"Andover, KS","oval","3-4 seconds"
"44872",20071110,20071113,"Barrie (Canada), ON","sphere","10 min"
"57794",20091124,20091203,"Lyman, SC","light","15 sec"
"12464",20010628,20010629,"Vancouver, WA","chevron","20 seconds"
"23096",19980609,20031116,"San Bernardino, CA","diamond","10:00minutes"
"15071",19940615,20020504,"Fredericktown (2205twp rd180), OH","sphere","10;00min"
"23086",20031126,20031128,"York, PA","light","10 minutes"
"55724",20090822,20090823,"Flowery Branch, GA","light","30 Seconds"
"1939",19970822,19970821,"Kingsville, TX","cigar","5-6 Seconds"
"11524",20010427,20010510,"Seattle, WA","diamond","10mins"
"20989",20030827,20030827,"Davison, MI","light","3-4 minutes"
"27592",20040703,20040710,"South Kingstown, RI","cigar","2 seconds"
"32565",18960602,20050704,"Melbourne (VIC, Australia),","formation","4 hours"
"59948",19770601,20100621,"Hanna City, IL","cylinder","2-3 minutes"
"7935",0,20000421,"Lake Cushman, WA","other","Very Brief"
"19204",20030227,20030227,"Patoka, IN","unknown","5 minutes off and on"
"60757",20100619,20100729,"Washington, D.C., DC","disk","unknown"
"7790",20000126,20000302,"Parrish, FL","triangle","05 mins"
"56960",20090927,20090927,"Modesto, CA","light","2 min"
"35335",20060129,20060130,"Visalia, CA","egg","30 minutes"
"41229",20070129,20070129,"Bloomingdale, IL","light","1 min"
"5199",19990516,19990710,"Dayton, OH","unknown","photo 1/250s"
"35867",19990701,20051214,"Waltham, MA","triangle","20 minutes"
"55910",20090804,20090804,"La Grande, OR","sphere","1 minute"
